,CommentHead,Comment,Rating
128,Expected a better product,Below average product,2
130,Mind-blowing purchase,Good product,5
131,Fabulous!,Nice product 👍,5
132,Don't waste your money,Bad product,1
133,Best in the market!,Good,5
134,Good,more force needed to use,3
135,Good choice,Nyc,4
136,Does the job,Nice,3
137,Fabulous!,I like this product l send a picture,5
139,Awesome,Best price,5
140,Unsatisfactory,Very bad product,1
141,Hated it!,the juicer doesn't filter mash,1
142,Does the job,Not so good.,3
143,Simply awesome,Super,5
144,Must buy!,Awesome product,5
145,Good,Very good,3
146,Moderate,I am using it from more then 1month at first it works nicely but now it was not working properly,2
147,Useless product,WORST PRODUCT,1
149,Utterly Disappointed,It got broken down after one month,1
150,Don't waste your money,Very bad priduct,1
151,Terrific,Nice,5
152,Terrible product,Damage peace,1
153,Mind-blowing purchase,Nice good protect,5
154,Does the job,"Not useable for bulk juice. Assembly some time loose also juice drawn from different points.. However OK in terms of price. Oranges, mausam, pine apple, pomegranate juice can easily drawn",3
155,Really Nice,Really nice for using without electricity. Only one thing is not make me happy that it couldn't make juice for hard veggies or fruits like carrot or another.,4
156,Moderate,Not too good as expected wastage of fruits r more,2
157,Utterly Disappointed,Damage product,1
158,Wonderful,Nice,5
160,Excellent,Best product,5
162,Terrific,Nice juser,5
163,Could be way better,Not use,2
164,Simply awesome,We are happy to take this product,5
165,Classy product,the product is really good ...and easy to use ...i am very much satisfied with the product nd Flipkart 😍😍,5
166,Nice product,Nice product,4
167,Just okay,Good but quality is not good enough & delivery exicutive is very rude behaviour with me 😡,3
168,Mind-blowing purchase,Vvvvvvvvvery nice....,5
169,Fair,Good,3
170,Just okay,Average,3
171,Very Good,Super product,4
172,Terrific,Good product,5
173,Useless product,Not good,1
174,Fabulous!,very nice product...,5
175,Best in the market!,Awesome thanks to Flipkart,5
176,Awesome,Very nice product I like it and thanks to Flipkart for this product,5
177,Perfect product!,nice product,5
178,Terrific purchase,Very good product,5
179,Good choice,Awesome product,4
181,Wonderful,Nice product.,5
182,Utterly Disappointed,Totally waste,1
183,Terrific purchase,Easy to oparate and really nice proudct,5
184,Terrific,Good,5
185,Very Good,Normal product good for health and good quality product good packing,4
186,Fabulous!,Nice product,5
187,Does the job,good,3
188,Excellent,Very nice,5
189,Best in the market!,Its simply superb at this price. Very easy to use. No effort to squeeze at all. Within two minuite you will get a glass of orange juice. Very helpful for my baby. The only thing is that after use you have to remove 2 parts for better cleaning. But still its also easy. Go for it. Don't minf negative reviews,5
190,Simply awesome,veri nice,5
191,Expected a better product,Very bad,2
192,Worst experience ever!,It didn't suit me,1
193,Good choice,Good juicer,4
194,Moderate,OK.... delivery services it too late ...,2
195,Highly recommended,"Cheep & best. In low cost fine product ,working well",5
196,Great product,Good product,5
197,Unsatisfactory,Damege part,1
199,Classy product,Nice prodect,5
200,Absolute rubbish!,"Broke within first use,",1
201,Excellent,Good one,5
202,Super!,Really nice,5
203,Good quality product,Good,4
204,Great product,Awesome,5
206,Nice product,Peel does not come out easily,4
207,Good,Average product..,3
208,Terrific purchase,Best,5
209,Very Good,Very very very nice juicer !!,4
210,Waste of money!,bad product,1
211,Super!,Super 👌,5
212,Worthless,very bad product,1
213,Just wow!,Super product,5
214,Excellent,Strong plastic . Thought it would break but not.,5
216,Nice,Not very good,3
217,Good choice,Super good quality,4
218,Excellent,Quality is too good.... 🎉🎊,5
219,Best in the market!,Just wow,5
220,Moderate,Bad quality,2
221,Classy product,Nyc,5
222,Perfect product!,Super,5
223,Could be way better,Not very good.its ok ok..tough to wash.when we are using for juice..its shaking...bkwas,2
224,Just okay,average product.,3
225,Great product,It's very nice product,5
227,Value-for-money,Product is good but it will take your juice out first after that you will able to get goods juice out!!!,4
228,Awesome,Good,5
230,Brilliant,Very good product,5
231,Terrific purchase,Nice product I am satisfied with it .,5
232,Very Good,Super,4
233,Absolute rubbish!,This product is very bad not useless..,1
234,Terrific,awesome product..and quality is also good,5
235,Horrible,Horrible.. Not user friendly. Difficult to handle.. Weast of money,1
236,Decent product,"ITS OKK , NOT BAD AND NOT GOOD",3
237,Unsatisfactory,Very bad quality,1
238,Not recommended at all,Juicer not working properly... and also damage product received,1
239,Value-for-money,Good product it's awesome quality so good average By LALIT,4
240,Classy product,Nice product,5
241,Decent product,K not bad,3
242,Not recommended at all,GUYS THIS IS USELESS PLEASE DONT WASTE YPUR MONEY ON THIS .IT IS JUST A TOY NOT A JUICER.,1
243,Unsatisfactory,It looks very good but build quality is very bad you can't make any kind of juice in that juicer I request all the customers to don't buy this product 🙏,1
244,Nice product,Gud one easy to use. must buy..😊😊,4
245,Terrific purchase,Base to be much more better,5
246,Wonderful,Normal,4
247,Terrific,Material is good  but   not delivery in correct location  he is away from 7 km and asked to come and collect....,5
248,Worth every penny,Nice,5
249,Terrific,Excellent,5
250,Worth every penny,Nice product,5
251,Horrible,Not good at all,1
252,Good,Packing was to much bad...product ok...value for money....,3
253,Classy product,Lovely product and useful,5
254,Delightful,The rubber pad that has a handle at the bottom that was found broken just 1 star less because of that..or else the product is good because the handle is of no use though.,4
255,Don't waste your money,Too bad quality,1
256,Excellent,Nice product,5
257,Worth the money,This product was super,4
259,Terrific,Ok,5
260,Best in the market!,nice product,5
261,Mind-blowing purchase,Is a very good product,5
262,Value-for-money,Good,4
263,Moderate,Not satisfied 😒,2
264,Awesome,Very nice juicer,5
265,Simply awesome,Good product go for it..,5
266,Expected a better product,I am not sad station very bad quality,2
267,Delightful,super,4
268,Perfect product!,Wow so good product 👌😊,5
269,Hated it!,Worst product,1
270,Did not meet expectations,I got a broken juicer pls don't buy from flipkart,1
271,Fabulous!,Supar..andparfakt...asoum,5
272,Nice,Good,3
273,Very Good,Good product. But not best.,4
274,Terrible product,"Very bad quality , handle is broken with in 2days, plz don't purchase this item",1
275,Just wow!,Best item in 399 rs,5
276,Classy product,Vry nice product n,5
277,Delightful,I love this product.. Quality is very good..,4
278,Fabulous!,Very good,5
279,Just okay,Proper not working,3
280,Pretty good,Very poor quality,4
281,Excellent,Best juicer grinder in this range,5
282,Perfect product!,Supar,5
283,Nice,not good,3
284,Moderate,The piece was broken,2
285,Highly recommended,Excellent MRP 399 Only,5
286,Nice,Good but not durable.,3
287,Waste of money!,worst product,1
288,Mind-blowing purchase,Average,5
289,Excellent,Superb,5
290,Expected a better product,Screw has broken after 15 days,2
291,Did not meet expectations,Very bad product,1
292,Value-for-money,Superb quality,4
293,Not good,Very worst products,2
294,Good choice,Nice product for value for money,4
296,Worst experience ever!,Poor handle design. It broke immediately after first test time use.,1
297,Decent product,Not a bast ...Only good,3
298,Useless product,This is a good product at cheap rate. If you don't have budget then you should buy it because this product is very cheapBut if you have budget then buy mixer glinder Because It take a lot of energy and time to make juice,1
301,Fair,Nice,3
302,Good choice,Good working,4
303,Best in the market!,Very nice . We really love it,5
304,Excellent,Good,5
305,Waste of money!,Worst product,1
306,Must buy!,Good product,5
307,Absolute rubbish!,Grip not working,1
309,Absolute rubbish!,very bad prpduct,1
310,Bad quality,Waste to buy,2
311,Wonderful,This is very good product. Thank you flip cart,4
312,Worth the money,Every thing is good with the juicer but only concern is with wash after use.Still very useful as we rely on juice not on the washing. So go for it.,4
313,Worst experience ever!,Not good,1
314,Worth the money,Good and  nice 👌👌👌,4
315,Absolute rubbish!,It's ok,1
316,Horrible,dab,1
317,Worst experience ever!,Very bad product totally useless,1
318,Could be way better,Low quality,2
319,Highly recommended,Sprb product,5
320,Super!,Very good product,5
321,Unsatisfactory,Waste of moneyTotally losted product,1
322,Don't waste your money,Don't buy this product. Quality is not good. And I got used one.,1
323,Highly recommended,Value for money.. only took out juice for mousambi.. and works great,5
324,Wonderful,Good product,4
325,Fair,It's working nicely. ।।।but plastic quility is average,3
326,Wonderful,This is very good juicer grinder. I am very happy.,5
327,Highly recommended,Brilient product.  I like it.,5
328,Best in the market!,Best in price & budget friendly,5
329,Delightful,Nice,4
331,Great product,Good product but not easy handle for everyone because it can break if use with easy hand.,5
332,Good quality product,Gd,4
333,Nice product,The product is good. Its build quality is also good as per price. It also sticks to the bottom so that it doesn't move while using juicer. Cleaning items is also easyAfter 1month: 1) Problem in cleaning. The spare parts are getting stuck2) The machine has become loose. It is cracking.,4
334,Worth every penny,Very useful,5
335,Useless product,This is too bad. please don't buy it.I repeat don't buy it.,1
336,Worth every penny,Good product,5
337,Classy product,Very good,5
339,Good quality product,Very nice,4
340,Wonderful,Nice Product.Thanks to Flipkart..,5
341,Waste of money!,Very poor product,1
342,Nice product,good,4
343,Worth the money,Good products,4
344,Super!,Its exactly like shown in the website. The product is at the best price. Five stars from me.,5
345,Brilliant,useful,5
347,Very Good,It's  awesome l love it,4
348,Utterly Disappointed,Very poor quality....after first wash it didn't work properly..,1
349,Could be way better,Waste of money,2
350,Wonderful,Unable to dismandle easily..overall product is fine,4
351,Unsatisfactory,Worst😡😡😡😡,1
352,Great product,Amazing 👌,5
353,Nice,Cleanung is difficult,3
354,Decent product,nice product but wastage not remove clearly...,3
355,Bad quality,Cleaning is tedious and juice contains more pulp,2
356,Worth the money,Good one,4
357,Must buy!,Good,5
358,Fabulous!,must buy,5
359,Pretty good,Nice product,4
360,Awesome,Nice,5
361,Fabulous!,Super product,5
362,Utterly Disappointed,Quality issues,1
363,Perfect product!,Good product,5
364,Just okay,Good but minor problem,3
365,Waste of money!,Use less,1
366,Fabulous!,Bast juicer,5
367,Just okay,good,3
368,Mind-blowing purchase,Good one to go with,5
369,Pretty good,Build quality super.,4
371,Absolute rubbish!,Low quality this product,1
372,Simply awesome,I can not say,5
373,Not recommended at all,Handle broke off after 2 days of use.,1
374,Terrible product,Very bad product,1
375,Decent product,this is good for money..but  plastic product is damaged,3
376,Wonderful,very good,5
377,Really Nice,Nice,4
378,Just wow!,Nice product,5
379,Terrific,nice,5
380,Wonderful,Delivery was very good.,4
382,Mind-blowing purchase,I am very happy,5
383,Did not meet expectations,not use full this item,1
384,Wonderful,Nice Product,4
385,Must buy!,Very best,5
386,Could be way better,Not  OK,2
387,Mind-blowing purchase,You can purchase without any doubts,5
388,Good quality product,"Satisfied.... Good and hard plastic material. Best for Orange, Pineapple and pomegranate juice.",4
389,Mind-blowing purchase,Good,5
391,Great product,Value of my money,5
393,Absolute rubbish!,Bad product plzzz dont buy,1
394,Nice product,The product is good,4
395,Fabulous!,Like it,5
396,Good choice,Good product at this price.,4
397,Pretty good,Good product,4
400,Mind-blowing purchase,nice can be use for most of fruit,5
401,Terrific purchase,Not bad,5
402,Wonderful,"good product hand juice rather then other same juicers, it's quality is good then other, you can easily make juices for, oranges, banana (kela), annar, mango, mossami and many more.",4
403,Terrific purchase,Very nice good,5
405,Good,Not so bad,3
406,Delightful,Good product,4
408,Useless product,Don't waste money.,1
409,Best in the market!,Good product,5
410,Nice product,Good,4
411,Just okay,Only fruitt juice not vegetable,3
412,Terrible product,Quality poor,1
413,Does the job,Qiute difficult to wash,3
414,Wonderful,Good product and it works properly,5
415,Perfect product!,Satisfied with the quality. Easy to maintain.,5
416,Mind-blowing purchase,Nice working.  Product is good.,5
417,Did not meet expectations,Bakwas productPlease don't buy it,1
419,Good choice,Nice Product,4
420,Worth every penny,Very good product,5
421,Good,not good,3
422,Super!,Nice product,5
423,Wonderful,easy to handle,5
424,Fair,Nice product,3
425,Worth the money,Nice,4
426,Fair,As compair to Price... Good,3
427,Must buy!,Nice product. easy to use.,5
428,Good quality product,Wonderful product...must buy..my mother is so happy.,4
429,Terrific,Good  product,5
430,Nice product,nice product...easily it's can clean & serve.,4
431,Absolute rubbish!,Ok,1
432,Must buy!,Nice product,5
433,Could be way better,I don't like this is product,2
434,Good quality product,Spr,4
435,Perfect product!,Nice.....Good One....,5
436,Wonderful,Not bad,5
437,Absolute rubbish!,Not good,1
438,Useless product,Bad,1
440,Pretty good,Nice products,4
441,Terrific purchase,Good,5
442,Slightly disappointed,Not gud,2
443,Worthless,waste,1
444,Hated it!,Wast for money,1
445,Simply awesome,"v,good",5
446,Wonderful,nice,4
447,Terrific,Very nice,5
448,Very Good,Very good quality of product,4
449,Very poor,Very bad product,1
450,Awesome,Very good,5
451,Worth the money,nice product,4
452,Good,Gud but to much work is there cleaning and alla so much time delay,3
453,Decent product,Performance is not better and used plastic for this juicer is low quality,3
454,Fair,good,3
455,Mind-blowing purchase,it is amazing,5
456,Very poor,bad product didnt worked  correctly,1
457,Expected a better product,Ok,2
458,Useless product,dont buy this product. very loose condition.,1
459,Nice product,Super,4
460,Don't waste your money,machine is good.but I didn't recieve the juice glass and waste collector glass which is shown in picture .short items is disappointing,1
461,Really Nice,"gud one for home purpose....can get juice mousmi, narangi, also anar but if u mix one mousmi or orange in anar it will be easier to get juice. of anar....thank for flikkart",4
462,Classy product,good product,5
463,Simply awesome,Good use,5
464,Good,grip was not good while all items work properly,3
465,Utterly Disappointed,bed products,1
466,Best in the market!,Happy with product.,5
468,Terrific,cool,5
469,Absolute rubbish!,worst quality,1
470,Don't waste your money,not much better,1
471,Best in the market!,The delivery man was so good and humble,5
472,Hated it!,damage parts,1
473,Horrible,very bad quality...,1
474,Very poor,waste money,1
475,Not recommended at all,Don't Buy This Product Friends Timeand Money waste,1
476,Very Good,Very Useful and Simple.,4
477,Just wow!,Value of money,5
478,Just wow!,very good,5
479,Classy product,"nice product, but not able to juice beetroot, carrot etc (semi hard Vegetables/ Fruits)",5
480,Very Good,good product,4
481,Very poor,handle broken in first use,1
482,Wonderful,this is vry good products im so happy,5
483,Not recommended at all,This is not working well,1
484,Excellent,nice product,5
485,Best in the market!,good quality,5
486,Worthless,not suitable for vegetable juice,1
488,Waste of money!,bad quality,1
489,Really Nice,very nice,4
490,Good choice,best product,4
491,Worth every penny,good product,5
492,Really Nice,Good product and good service delivery,4
493,Decent product,Wonderfull product,3
494,Awesome,best,5
495,Brilliant,ok,5
496,Fabulous!,very nice,5
497,Pretty good,good,4
498,Utterly Disappointed,its not proper work...,1
499,Fabulous!,Best for orange,5
501,Not good,worst product dont buy.broken in 2 or 3 use.,2
502,Unsatisfactory,bad,1
503,Useless product,it is only for orange,1
504,Unsatisfactory,Not ok the waiste cover not fit properly,1
505,Fair,fine,3
506,Terrible product,bad quality,1
507,Value-for-money,Go for it. Worth the price.,4
508,Terrific,satisfied,5
509,Brilliant,good,5
510,Worthless,"very bad product, waist of money",1
511,Good quality product,Very very good,4
512,Just okay,value for money,3
513,Perfect product!,mind-blowing product,5
514,Just okay,cool,3
515,Bad quality,Not good for regular use .... Waste of money,2
516,Did not meet expectations,third grade plastic .handle Broken after 1 wk of use plz dont buy it waste of money....,1
517,Must buy!,Good Product,5
518,Value-for-money,nice,4
519,Could be way better,not bad,2
521,Pretty good,Not that much satisfied but ok for this price delivery was on time  and nice,4
522,Just wow!,product quality is good..,5
523,Moderate,nice,2
524,Very Good,Nice one,4
525,Moderate,"It's ok, not very durable",2
526,Does the job,I m very happy 😊,3
527,Fabulous!,Very best,5
528,Awesome,nice look and nice product,5
529,Good choice,Good Product,4
530,Worth the money,Nice product.,4
531,Pretty good,good one,4
532,Nice,good in that price range...,3
533,Worth every penny,awesome ❤,5
534,Classy product,soo good,5
535,Worthless,i have got a damage product,1
536,Perfect product!,good,5
537,Very poor,very poor,1
538,Pretty good,Nice,4
539,Does the job,I am satisfy.,3
540,Bad quality,not bad,2
541,Terrific purchase,nice product,5
542,Worth the money,good,4
543,Perfect product!,super nice 👌,5
545,Terrific,nice product for flipkart,5
546,Wonderful,the best,4
547,Worthless,worst product from flipkart and cant juice for half cup balance juice waste,1
548,Good choice,NYC products,4
549,Absolute rubbish!,Not Good,1
550,Terrible product,Very bad product 😒😭😭😭,1
551,Terrific purchase,Good product,5
552,Mind-blowing purchase,It's a great product tq flipkart,5
553,Classy product,awesome products,5
555,Terrific purchase,good,5
556,Value-for-money,good product,4
557,Fabulous!,nice product,5
558,Bad quality,not good,2
559,Very Good,very good quality product,4
561,Terrific,good,5
562,Terrific purchase,good and statisfied product.,5
563,Perfect product!,nice,5
565,Good quality product,very nice products...👍👍👍👍,4
566,Terrific purchase,nice,5
567,Delightful,worth for money,4
569,Fair,best price good quality,3
570,Moderate,wrost,2
571,Good quality product,Good for citrus fruits.,4
572,Good choice,QUALITY IS NICE WITH LOW PRICE,4
573,Fair,Juicerr working very good but not suitable for all fruit juice,3
574,Classy product,nice,5
576,Don't waste your money,Very bad product,1
577,Good quality product,good,4
578,Decent product,Not worth for the cost...,3
579,Awesome,Nice product,5
580,Perfect product!,Good at this price,5
581,Good,Nice,3
582,Highly recommended,very good product,5
583,Very Good,Good product,4
584,Must buy!,Does its job very well with low waste,5
585,Must buy!,nice,5
586,Did not meet expectations,very bad,1
587,Best in the market!,nice juicer,5
588,Very Good,Nice Product 👌,4
589,Wonderful,good quality,5
590,Good choice,it's fine product you can go for it for short periods of time,4
591,Wonderful,good product,4
592,Good choice,good,4
593,Very Good,nice juicer thank you so much,4
594,Classy product,ek number product,5
595,Moderate,not bad,2
596,Super!,Nice,5
597,Just wow!,excellent product,5
598,Pretty good,Very good this product,4
600,Worth every penny,super value on money thank you,5
601,Brilliant,nice jucer,5
603,Decent product,simplay better,3
604,Value-for-money,nice juicer for home....,4
605,Excellent,GOOD PRODUCT,5
606,Just okay,It's OK,3
607,Horrible,got a damaged product,1
609,Waste of money!,worst product.. please nobody buy this product. waste of money,1
610,Great product,super,5
611,Hated it!,not good attachments are not working now used only for two times and now I am unable to assemble it coz of attachments,1
612,Highly recommended,awsome we can buy this juice maker,5
613,Super!,good quality product.... mast juice nikla aanar ka,5
614,Terrific,quality okay,5
615,Excellent,thanks,5
616,Classy product,Good product,5
617,Excellent,worthy product,5
618,Very Good,good,4
619,Wonderful,good,4
620,Hated it!,Wast,1
621,Must buy!,love it,5
622,Just wow!,verry good,5
624,Unsatisfactory,quality is poor,1
626,Good,nice,3
627,Just okay,nyc,3
628,Good quality product,ok,4
629,Highly recommended,Awesome product !! It's portability and compatibility is great within a light budget far better then market product . Highly recommended.,5
630,Super!,Looking cute product,5
632,Highly recommended,"Quality wise good, using it daily, till now No issues.",5
633,Wonderful,awasom,5
634,Just okay,better,3
635,Super!,good product,5
636,Wonderful,This hand juicer machine is really a gud product at this cost.,4
637,Unsatisfactory,such a waste product. waste of money.,1
638,Wonderful,nice......,4
639,Good choice,super,4
640,Fabulous!,Good product#worth for money,5
641,Fair,it's good for lemon and 🍊 juicer.,3
642,Very Good,nice,4
643,Worst experience ever!,not good item waste of money,1
645,Fabulous!,very nice producing easy to wash,5
646,Good choice,good product,4
647,Waste of money!,very very very worst product... dnt go for it,1
648,Waste of money!,very week don't  purchase  this products wastage of money and time...  No any spare available in market..,1
649,Nice product,Wow the product it good 😎😎🗺️,4
652,Best in the market!,nice,5
653,Horrible,not good,1
654,Super!,awesome... go for it,5
655,Pretty good,good product,4
658,Very poor,Poor product.....,1
659,Very Good,product is good in dis price range,4
660,Excellent,Nice,5
661,Excellent,ok,5
663,Terrific purchase,Nice,5
664,Decent product,it is average in quality wise,3
665,Decent product,good,3
666,Could be way better,no use,2
667,Really Nice,good job,4
669,Horrible,I received damaged parts,1
671,Very Good,Useful Product🥰,4
672,Nice product,okk,4
673,Brilliant,awesome👏✊👍,5
674,Highly recommended,good,5
675,Just okay,product is nice,3
676,Awesome,good juicer but not for all fruits,5
677,Delightful,Good product..,4
678,Bad quality,My money loss,2
679,Super!,nice for juices its healthy and tasty,5
680,Great product,nice product,5
681,Useless product,ok not good,1
682,Mind-blowing purchase,very good quality . justify the price . overall nice product.,5
683,Really Nice,Good,4
684,Highly recommended,good product i m happy,5
685,Highly recommended,so fine,5
687,Perfect product!,good products,5
688,Utterly Disappointed,worst 👎  don't try this,1
690,Great product,More Than Again,5
691,Wonderful,ok product,4
692,Absolute rubbish!,bakwas product,1
693,Just okay,Offline product is better thn juicer in this same price,3
694,Fabulous!,Nice,5
695,Did not meet expectations,it's not good...,1
696,Absolute rubbish!,very bad product,1
697,Simply awesome,Very good product for home use.,5
698,Horrible,not good.,1
699,Worth every penny,Awesome product,5
700,Delightful,good,4
701,Good quality product,not bad,4
702,Mind-blowing purchase,Good Product,5
703,Fair,not much juice out from juicer.,3
704,Did not meet expectations,not good,1
706,Hated it!,not even able to crash apples.. if someone looking for something which can extract juice pulpy fruits..then go for it,1
707,Must buy!,correct rate,5
708,Waste of money!,not good,1
709,Does the job,gud,3
710,Really Nice,nice,4
711,Pretty good,nice product,4
712,Value-for-money,good quality. but but after cleaning work take long time,4
713,Decent product,nice this product may be happy,3
714,Good quality product,Wonderful,4
715,Does the job,apple,3
716,Must buy!,yes this is a good product🤗,5
717,Excellent,Good ...very useful...,5
718,Awesome,good,5
719,Mind-blowing purchase,nice,5
720,Pretty good,Supb but small,4
721,Horrible,leaked,1
722,Terrific purchase,good quanty,5
723,Must buy!,very easy to use and work very well,5
724,Mind-blowing purchase,Very very very nice product,5
725,Good quality product,best for the price,4
726,Does the job,It is not bad but ok,3
727,Just wow!,good product,5
729,Perfect product!,very nice,5
730,Value-for-money,Quality is not much better but on this rate it's good 😊😊go for it....,4
732,Classy product,this product was awesome,5
733,Fabulous!,Speed work for flip kart.... Thank full,5
734,Great product,nice,5
738,Waste of money!,it is not nice it's cap always broking,1
739,Useless product,waste,1
740,Brilliant,Good,5
742,Waste of money!,very Bad product wastage of money,1
743,Brilliant,"Little hard to wash it's parts, but once u get use to it is very easy to operate and clean it back.",5
744,Just wow!,Very Nice prodt,5
745,Waste of money!,Very Poor product,1
746,Terrific purchase,super,5
747,Just okay,This is the good product but nothing too good,3
748,Perfect product!,Best,5
749,Worth every penny,Like so much,5
750,Wonderful,spuper duper amazing product,5
751,Worth the money,not bad good product easy to juice,4
752,Terrible product,low quality,1
753,Must buy!,"Excellent product , value for money!!",5
754,Brilliant,Usefull products,5
755,Really Nice,good work,4
757,Classy product,super quality product,5
758,Not recommended at all,Within 10 days it gets broken from back side.waste of money,1
759,Did not meet expectations,Very very bad,1
760,Brilliant,nice but price is high,5
761,Utterly Disappointed,"it's stell one,  not plastic.",1
762,Bad quality,Product is good but plastic quality so bad I just use 15 days then broke plastic,2
763,Hated it!,c+ grade,1
764,Good,making less juice ....,3
765,Don't waste your money,"it's not working properly. i had tried to squeeze pomegranate, but not fully squeeze",1
766,Just wow!,good,5
767,Don't waste your money,Not working.,1
768,Perfect product!,best quality product.,5
769,Terrific,nice product Good Working,5
771,Did not meet expectations,Got a broken one. Quality is good but broken peace,1
772,Perfect product!,very bad quality low quality product,5
774,Best in the market!,that ws more strong to handle I enjoyed all my juices,5
775,Fair,ok,3
776,Just okay,need to wash everything after every turn,3
777,Super!,veri nice,5
778,Not recommended at all,wastage of money,1
779,Did not meet expectations,dis product is too bad my money is lost. it not a juicer it's toy . pls not buy dis product.,1
780,Terrific purchase,Good one,5
781,Perfect product!,Good,5
782,Must buy!,this product is so great I'm so happy to use this product 😍😍😍,5
784,Really Nice,good product...,4
785,Don't waste your money,product is very bad it is very difficult to take out juice it is very tight and cheap plastic and they are not returning also please do not buy highly recommended,1
786,Does the job,not good,3
787,Mind-blowing purchase,nice work,5
788,Utterly Disappointed,worst prodct... @$@'#:$$$,1
789,Just okay,average,3
790,Terrific purchase,Its Osam Produt .Thank U Flipkart,5
791,Useless product,worst,1
